Station ID,Station Name,Data Source,Latitude (deg),Longitude (deg),Observation ID,Observation Date,Day of Year (day),Month (month),City,State/Province,County,Number,Amphibian Common Names,Life Stage,Malformation Type,Side of Body,Malformation Location,Malformation Description,Station Address,Photos,Media,Documents
1755141,"Deschutes River, Deshutes Co., OR",Malformation Nation Observations,43.808600,-121.493842,8746653,1999-07-09,Jul-09,July,,Oregon,Deschutes,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: MDH, incomplete hind limb(s)",, , , 
1755141,"Deschutes River, Deshutes Co., OR",Malformation Nation Observations,43.808600,-121.493842,8746651,1999-07-09,Jul-09,July,,Oregon,Deschutes,72,Pacific Treefrog Complex,Don't know,,,NA,,, , , 
1755141,"Deschutes River, Deshutes Co., OR",Malformation Nation Observations,43.808600,-121.493842,8746650,1999-07-09,Jul-09,July,,Oregon,Deschutes,25,Oregon Spotted Frog,Don't know,,,NA,,, , , 
1755142,"Deshutes National Forest, Oregon",Malformation Nation Observations,43.916508,-121.251419,8746647,1999-07-08,Jul-08,July,,Oregon,Deschutes,9,Oregon Spotted Frog,Don't know,,,NA,,, , , 
1755142,"Deshutes National Forest, Oregon",Malformation Nation Observations,43.916508,-121.251419,8746648,1999-07-08,Jul-08,July,,Oregon,Deschutes,,Oregon Spotted Frog,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: MDH, MHL",, , , 
1755142,"Deshutes National Forest, Oregon",Malformation Nation Observations,43.916508,-121.251419,8746649,1999-07-08,Jul-08,July,,Oregon,Deschutes,,Oregon Spotted Frog,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: MDH, MHL",, , , 
1755143,DeSoto National Wildlife Refuge,Malformation Nation Observations,41.548479,-96.027911,8746646,1997-07-23,Jul-23,July,,Iowa,Missouri Valley,100,Fowler's Toad,Don't know,,,NA,,, , , 
1755143,DeSoto National Wildlife Refuge,Malformation Nation Observations,41.548479,-96.027911,8746645,1997-06-23,Jun-23,June,,Iowa,Missouri Valley,100,Northern Leopard Frog,Don't know,,,NA,,, , , 
1755144,"Detroit Lakes, MN End of 190 St.",Malformation Nation Observations,46.842870,-95.673020,8746643,1997-08-12,Aug-12,August,,Minnesota,Becker,4,Wood Frog,Don't know,,,NA,,, , , 
1755144,"Detroit Lakes, MN End of 190 St.",Malformation Nation Observations,46.842870,-95.673020,8746644,1997-08-12,Aug-12,August,,Minnesota,Becker,3,Northern Leopard Frog,Don't know,,,NA,,, , , 
1755145,"Devils Lake, ND 56th St NE and 88th Ave NE",Malformation Nation Observations,48.233340,-98.733726,8746637,1997-09-09,Sep-09,September,,North Dakota,Ramsey,,Northern Leopard Frog,Don't know,Abnormal Not Specified,,NA,"missing front digits, partial hind digits",, , , 
1755145,"Devils Lake, ND 56th St NE and 88th Ave NE",Malformation Nation Observations,48.233340,-98.733726,8746636,1997-09-09,Sep-09,September,,North Dakota,Ramsey,16,Northern Leopard Frog,Don't know,,,NA,,, , , 
1755145,"Devils Lake, ND 56th St NE and 88th Ave NE",Malformation Nation Observations,48.233340,-98.733726,8746640,1997-07-09,Jul-09,July,,North Dakota,Ramsey,11,Wood Frog,Don't know,,,NA,,, , , 
